Sample_ID,Easting,Northing,Na2O_%,MgO_%,Al2O3_%,SiO2_%,P2O5_%,S_mgkg,Cl_mgkg,K2O_%,CaO_%,TiO2_%,MnO_%,Fe2O3_%,Sc_mgkg,V_mgkg,Cr_mgkg,Co_mgkg,Ni_mgkg,Cu_mgkg,Zn_mgkg,Ga_mgkg,Ge_mgkg,As_mgkg,Se_mgkg,Br_mgkg,Rb_mgkg,Sr_mgkg,Y_mgkg,Zr_mgkg,Nb_mgkg,Mo_mgkg,Nd_mgkg,Sm_mgkg,Yb_mgkg,Hf_mgkg,Ta_mgkg,W_mgkg,Tl_mgkg,Pb_mgkg,Bi_mgkg,Th_mgkg,U_mgkg,Ag_mgkg,Cd_mgkg,In_mgkg,Sn_mgkg,Sb_mgkg,Te_mgkg,I_mgkg,Cs_mgkg,Ba_mgkg,La_mgkg,Ce_mgkg,Au_ugkg,Pd_ugkg,Pt_ugkg
588546C,252503,436370,1.3,1.4,14.5,55,0.31,500,100,2.5,0.73,1.054,0.528,7.86,13.1,92.9,70.4,61.1,36.5,32.1,99.5,16.5,0.3,5.3,0.7,19.8,80.6,106.9,40.1,836.2,20.8,0.9,62.3,6.9,4.1,17.1,0.5,2.5,0.1,16.3,0.5,11.7,3.5,0.25,0.1,0.25,2,0.25,0.4,7.8,3,541,67,135,2.27,1.68,0.71
588547C,206449,403419,1.3,1.7,10.5,46,0.29,500,108,2.56,1.12,0.694,1.064,7.82,10.1,58.5,35.6,20.7,12.7,7.3,81.8,14.8,0.9,15.4,0.9,53.8,95.3,115.5,33.9,439.2,15.9,1.6,40.3,6.7,4,9.4,1,2.9,0.9,28.7,0.7,12.5,3.4,0.25,0.25,0.1,2,0.2,0.25,14.8,2,662,42,86,1.09,0.51,0.22
588548C,227891,390802,1.3,2.6,14.1,52,0.34,440,100,3.36,0.93,0.924,0.204,7.61,14.4,88.3,63.4,19.1,26.9,21,108.5,19.4,0.4,21.8,0.4,13.4,117.6,125.2,42,644.7,19.1,1.4,42.6,8.2,4.6,12.8,0.4,3.9,0.8,22.2,0.2,14.3,5.5,0.3,0.2,0.25,2.3,1.1,0.25,5.1,2,794,49,100,1.23,0.55,0.24
588549C,243201,444252,0.9,2.3,8.9,48,0.15,93,93,1.67,2.92,0.955,0.916,11.2,10.6,119.4,44.8,28.7,22.6,21.1,97.8,12.6,0.6,26,0.5,57.5,54.1,165.3,26,636.6,9.9,0.9,29.9,0.3,3.7,12.1,0.8,1.5,0.6,17.4,0.4,9,2.6,0.25,0.2,0.1,1.6,0.4,0.3,15.9,2,405,29,57,1.66,3.98,1.81
588550C,246004,441542,1,1.5,9.8,51,0.22,58,106,2.05,0.96,0.861,0.457,11.16,9.4,95.2,41.3,43.6,18.8,25.2,79.3,13.3,0.8,89.5,0.4,56.2,62.5,72.5,26.8,505.3,10.8,0.9,34.5,0.1,3.6,10.4,0.5,0.4,0.9,36.1,0.5,8.5,2,0.1,0.2,0.1,1.4,0.5,0.1,14.1,1,402,38,75,1.16,1.5,1.23
588551C,252401,436799,1.4,1.6,14.2,58,0.3,500,100,2.42,0.62,0.985,0.819,8.08,9.7,90.5,71.9,58.1,33.3,18.9,112.3,15.9,0.6,4.9,0.2,15.2,73.3,114.8,31,1364.7,17.5,1.3,37.5,4,4.1,29.5,0.5,2.1,0.7,13.4,1.1,11.4,3.5,0.25,0.25,0.25,2.2,0.4,0.1,7.3,2,538,40,88,2.45,1.11,0.63
588552C,229849,414723,1.1,1.4,13.3,54,0.25,500,100,2.36,0.66,0.607,0.393,5.45,9.8,53.4,47.9,27.1,29.5,18.9,94.3,14.3,0.9,13.9,0.5,11.2,68.4,146,25.5,422,14.1,0.7,32.2,6.2,2.5,8.1,0.3,2.1,0.9,20.9,0.4,10.1,3.6,0.25,0.2,0.25,1.9,0.6,0.2,5.3,2,428,41,75,1.12,0.25,0.34
588553C,187848,396461,1.2,1.9,14.1,58,0.23,500,100,3.47,0.5,0.895,0.269,5.22,12.5,77,59.5,20.8,22.6,22.4,107.2,18,0.3,7.5,0.7,86.8,127.4,66.7,31.7,480.9,16.6,0.5,34.8,6.8,2.1,11.1,1.6,3.9,1.2,30.5,0.3,13.6,3.9,0.25,0.2,0.25,3.1,0.5,0.1,11.7,3,548,45,86,1.83,0.8,0.52
588554C,230901,447533,1.1,2.2,12,48,0.29,556,234,2.11,0.84,0.794,0.287,4.65,8.3,76.5,74.2,20.8,33.4,18.4,126.7,14.1,1.1,4.5,1.1,384.8,78.9,149.6,24.4,521.1,13.6,1.7,40.2,6.8,2.9,11.8,0.4,4.9,1,31.9,0.1,14.3,5.7,0.25,0.3,0.25,2.1,0.2,0.25,37.7,3,377,41,108,6.14,0.68,0.36
588555C,206530,392839,0.1,0.5,2.9,10,0.1,1379,273,0.52,0.64,0.136,1.412,51.3,5.4,22.5,11.8,30.5,9.5,4.3,124.9,4,0.8,6,2.2,166.1,18.4,30.8,41,61.5,2.7,2.4,75.1,2.9,5,0.6,0.5,0.3,0.4,17,1,4.4,0.25,0.1,0.1,0.25,0.8,0.7,0.25,53.1,0.5,375,70,142,21.28,6.45,0.88
